G,MD,W,AI,S,P,os,Company,Touchscreen,Cpu_brand,Ram,Gpu_brand
1,1,1,1,0,5.624,2,4,1,3,32,2
1,1,0,1,0,2.555,2,11,0,3,8,2
1,0,0,1,1,2.01,2,16,0,2,8,1
1,1,0,1,0,2.843,2,2,0,3,8,1
0,0,0,0,1,0.957,2,10,0,1,4,1
1,1,0,1,0,2.129,2,2,0,3,8,2
1,0,0,1,1,2.702,2,7,0,2,8,1
1,1,0,1,1,2.236,2,4,0,2,8,2
1,0,0,1,1,2.438,2,7,0,2,8,1
0,0,0,0,1,0.586,0,2,0,4,4,1
1,1,0,1,1,2.435,2,4,0,2,8,2
0,0,0,0,1,0.586,0,4,0,4,4,1
1,1,0,0,1,1.916,2,10,0,0,12,0
1,1,0,0,1,1.526,2,7,0,1,8,2
1,1,1,1,0,4.473,2,10,1,3,16,1
1,1,0,1,0,3.365,2,4,0,3,8,1
1,1,1,1,0,2.406,2,10,0,3,16,2
0,0,0,0,1,0.595,2,7,0,4,2,1
1,1,1,1,0,3.427,2,4,0,3,16,1
0,0,0,0,1,0.799,2,2,1,4,4,1
1,1,0,1,1,1.413,2,4,0,2,8,0
1,1,1,1,0,4.321,2,4,1,3,16,2
1,1,0,1,0,2.779,2,7,0,3,8,1
1,1,0,1,0,3.003,2,11,0,3,8,2
1,1,0,1,0,3.705,2,7,0,3,8,2
1,1,1,1,0,2.99,2,16,0,3,16,2
1,1,0,1,0,2.069,2,4,0,3,8,0
0,0,0,0,1,0.686,0,10,0,4,4,1
1,1,0,1,1,2.129,2,4,0,2,8,2
1,0,0,1,1,1.188,2,4,1,2,8,1
1,0,0,1,1,3.041,2,4,0,2,8,1
0,0,0,0,1,0.936,2,7,0,1,4,1
1,0,0,1,1,2.014,2,2,0,2,8,1
1,1,0,1,1,1.532,2,10,0,2,6,2
1,0,0,1,1,1.362,2,7,0,2,8,1
1,1,0,0,1,1.063,0,10,0,1,8,2
0,0,0,0,1,0.829,2,7,0,4,8,1
1,1,0,1,1,2.312,2,4,0,2,8,0
1,1,0,1,1,1.724,0,10,0,2,8,2
1,1,0,1,0,1.916,2,4,0,3,8,0
1,1,0,1,0,3.73,2,7,0,3,8,1
1,1,0,1,0,2.342,2,2,1,3,12,2
1,1,0,0,1,0.908,2,0,0,0,4,0
1,1,1,0,1,4.687,2,2,0,0,16,0
1,1,0,0,1,1.042,2,10,0,0,4,0
1,1,0,1,0,1.852,2,4,1,3,8,1
1,1,0,0,1,1.042,2,7,0,0,4,0
0,0,0,0,1,1.179,2,10,0,4,4,1
0,0,0,0,1,0.659,2,4,0,4,4,1
0,0,0,0,1,0.61,2,2,0,4,4,1
1,1,0,1,0,1.803,0,0,0,3,8,2
1,1,0,1,0,2.538,2,7,0,3,8,2
0,0,0,0,1,0.86,0,10,0,1,4,1
1,1,0,1,0,3.527,2,2,0,3,8,2
1,1,0,1,1,2.342,2,10,0,2,8,2
1,1,1,1,0,3.727,2,2,1,3,16,1
1,1,0,1,0,4.863,2,10,0,3,8,1
0,0,0,0,1,1.17,2,10,0,1,4,1
1,1,0,1,1,2.918,2,4,0,2,8,0
1,1,0,1,0,4.55,2,4,0,3,8,2
1,1,1,1,0,5.347,2,10,1,3,16,1
1,1,0,1,0,2.214,2,2,0,3,8,2
1,1,1,1,0,3.391,2,2,0,3,16,2
1,1,0,1,1,1.479,2,0,0,2,12,2
1,1,0,1,0,2.875,2,11,0,3,8,2
1,1,0,1,0,1.66,0,4,0,3,8,0
1,1,0,0,1,1.063,2,7,0,0,4,0
1,1,0,1,0,2.62,2,10,0,3,8,0
1,0,0,1,1,1.999,2,10,0,2,8,1
1,1,0,1,0,5.78,2,4,1,3,8,2
1,1,1,1,0,5.594,2,10,0,3,16,1
0,0,0,0,1,0.652,2,10,0,4,4,1
1,1,1,1,0,3.259,2,2,0,3,16,2
1,1,0,1,1,2.439,2,10,0,2,8,0
1,1,0,1,0,1.873,0,0,0,3,8,2
1,1,1,1,0,4.793,2,11,0,3,16,2
1,1,0,1,0,3.992,2,2,0,3,8,1
1,1,1,1,0,3.723,2,16,0,3,16,1
1,1,0,1,0,3.58,2,4,0,3,8,1
0,0,0,0,1,0.872,2,10,0,1,4,1
0,0,0,0,1,0.649,2,10,0,4,2,1
1,1,0,1,0,4.103,2,10,0,3,8,2
1,1,0,1,0,4.141,2,10,0,3,8,2
1,1,0,0,1,1.0,2,7,0,1,4,0
1,1,0,1,0,1.682,2,0,1,3,8,1
1,0,0,1,1,1.978,2,2,1,2,8,1
1,1,0,1,1,1.276,0,4,0,2,4,0
0,0,0,0,1,1.468,2,4,0,1,4,1
1,1,0,1,0,3.197,2,7,0,3,8,1
1,0,0,1,1,1.151,2,4,0,2,8,1
1,1,0,1,0,2.59,2,10,0,3,8,0
1,1,1,1,0,4.047,2,10,1,3,16,2
0,0,0,0,1,0.957,2,3,0,4,6,1
1,1,0,1,0,3.041,2,7,0,3,8,1
1,1,0,0,1,1.272,0,2,0,1,8,2
1,1,1,1,0,5.965,2,4,0,3,16,2
1,1,0,1,0,2.47,2,4,0,3,8,2
1,1,0,1,0,2.435,2,4,0,3,8,0
1,1,0,1,0,2.342,0,4,0,3,8,1
1,1,0,1,0,4.26,2,7,0,3,12,2
0,0,0,0,1,0.637,2,12,1,4,4,1
0,0,0,0,1,0.573,0,15,0,4,4,1
1,1,0,1,0,2.153,2,10,0,3,8,1
0,0,0,0,1,1.277,2,10,0,1,4,1
1,1,1,1,0,5.211,2,10,0,3,16,2
1,1,1,1,0,5.219,2,10,0,3,16,2
1,1,0,0,1,3.612,2,2,0,0,8,0
0,0,0,0,1,0.74,2,7,0,4,4,1
